Date,Open,High,Low,Close,Volume,Adj Close
2017-03-31,9.08,9.18,9.08,9.17,63312100,9.17
2017-03-30,9.12,9.12,9.06,9.08,68728500,9.08
2017-03-29,9.13,9.15,9.09,9.11,60114000,9.11
2017-03-27,9.12,9.19,9.08,9.14,98501200,9.14
2017-03-24,9.20,9.24,9.16,9.19,71082700,9.19
2017-03-22,9.20,9.22,9.14,9.16,56612300,9.16
2017-03-21,9.25,9.26,9.20,9.24,55464800,9.24
2017-03-20,9.29,9.31,9.22,9.25,71502100,9.25
2017-03-17,9.45,9.46,9.30,9.31,158364700,9.31
2017-03-16,9.48,9.53,9.45,9.52,63595300,9.52
2017-03-15,9.42,9.48,9.42,9.48,54656000,9.48
2017-03-13,9.39,9.45,9.37,9.44,54530400,9.44
2017-02-21,9.55,9.62,9.54,9.57,64658400,9.57
2017-02-20,9.40,9.58,9.40,9.56,89875500,9.56
2017-02-15,9.40,9.54,9.39,9.45,75661300,9.45
2017-02-13,9.34,9.44,9.33,9.41,63836400,9.41
2017-02-06,9.26,9.32,9.26,9.31,51678600,9.31
2017-01-18,9.14,9.19,9.13,9.17,57426900,9.17
2017-01-17,9.12,9.16,9.10,9.15,54555200,9.15
2017-01-16,9.15,9.16,9.07,9.14,68316500,9.14
2016-12-20,9.20,9.20,9.08,9.11,63663800,9.11
2016-12-15,9.37,9.41,9.21,9.25,82761200,9.25
2016-12-14,9.42,9.51,9.40,9.40,59770500,9.40
2016-12-13,9.48,9.50,9.33,9.42,64577100,9.42
2016-12-12,9.65,9.77,9.44,9.50,125687400,9.50
2016-12-09,9.50,9.75,9.48,9.65,151419900,9.65
2016-12-08,9.50,9.55,9.43,9.52,67145200,9.52
2016-12-06,9.48,9.52,9.45,9.49,60290200,9.49
2016-12-05,9.50,9.54,9.41,9.46,76436500,9.46
2016-12-02,9.60,9.60,9.44,9.55,82968600,9.55
2016-12-01,9.57,9.63,9.55,9.60,64600400,9.60
2016-11-30,9.65,9.72,9.50,9.55,102596300,9.55
2016-11-29,9.59,9.70,9.55,9.62,88777900,9.62
2016-11-28,9.69,9.78,9.60,9.63,127968900,9.63
2016-11-25,9.48,9.62,9.46,9.62,101367500,9.62
2016-11-24,9.44,9.52,9.42,9.47,77974800,9.47
2016-11-23,9.34,9.56,9.34,9.45,175286900,9.45
2016-11-22,9.24,9.36,9.23,9.36,118025700,9.36
2016-11-21,9.18,9.28,9.17,9.24,85024300,9.24
2016-11-18,9.21,9.21,9.16,9.18,51759700,9.18
